time,variant,equity,return_pct,trades,positions,wins,win_rate
2026-06-17 23:20,A_baseline,5027.66,0.55,32,4,19,59
2026-06-17 23:20,B_nospikes,5017.62,0.35,28,3,17,61
2026-06-17 23:20,C_conservative,5018.17,0.36,23,3,14,61
2026-06-17 23:20,D_contrarian,5000.0,0.0,0,0,0,0
2026-06-17 23:30,A_baseline,5027.56,0.55,32,4,19,59
2026-06-17 23:30,B_nospikes,5017.62,0.35,28,3,17,61
2026-06-17 23:30,C_conservative,5018.07,0.36,23,3,14,61
2026-06-17 23:30,D_contrarian,5000.0,0.0,0,0,0,0
2026-06-18 00:00,A_baseline,5027.4,0.55,32,4,19,59
2026-06-18 00:00,B_nospikes,5017.62,0.35,28,3,17,61
2026-06-18 00:00,C_conservative,5017.91,0.36,23,3,14,61
2026-06-18 00:00,D_contrarian,5000.0,0.0,0,0,0,0
2026-06-18 00:30,A_baseline,5028.52,0.57,32,5,19,59
2026-06-18 00:30,B_nospikes,5017.21,0.34,28,3,17,61
2026-06-18 00:30,C_conservative,5018.08,0.36,23,3,14,61
2026-06-18 00:30,D_contrarian,5000.0,0.0,0,0,0,0
