zeit,cpu,ram,disk,last1,last5,last15
2026-08-21 12:48,0.0,18.0,20,0.14,0.19,0.13
2026-08-21 12:54,0.5,17.3,20,0.04,0.12,0.11
2026-08-21 12:59,44.2,17.5,20,0.20,0.12,0.10
2026-08-21 13:04,0.5,17.3,20,0.05,0.08,0.08
2026-08-21 13:09,5.0,17.3,20,0.13,0.07,0.08
2026-08-21 13:14,0.0,17.3,20,0.00,0.03,0.06
2026-08-21 13:19,0.0,17.3,20,0.65,0.19,0.10
2026-08-21 13:24,1.0,17.3,20,0.01,0.08,0.08
2026-08-21 13:29,0.0,17.2,20,0.03,0.07,0.07
2026-08-21 13:34,0.0,17.3,20,0.04,0.13,0.10
2026-08-21 13:39,0.0,17.3,20,0.06,0.06,0.08
2026-08-21 13:44,0.0,17.3,20,0.06,0.07,0.08
2026-08-21 13:49,1.0,17.3,20,0.06,0.08,0.08
2026-08-21 13:54,3.0,17.6,20,0.41,0.16,0.11
2026-08-21 13:59,0.0,17.4,20,0.14,0.18,0.12
2026-08-21 14:04,0.5,17.3,20,0.13,0.11,0.09
2026-08-21 14:09,0.0,17.4,20,0.04,0.08,0.08
2026-08-21 14:14,0.0,17.3,20,0.27,0.14,0.10
2026-08-21 14:19,0.0,17.4,20,0.01,0.07,0.08
2026-08-21 14:25,6.0,17.5,20,0.03,0.06,0.07
2026-08-21 14:30,1.5,17.5,20,0.03,0.08,0.08
2026-08-21 14:35,0.0,17.5,20,0.09,0.10,0.09
2026-08-21 14:40,2.5,17.4,20,0.11,0.10,0.09
2026-08-21 14:45,2.0,17.5,20,0.17,0.17,0.11
2026-08-21 14:50,0.0,17.5,20,0.08,0.12,0.09
2026-08-21 14:55,0.0,17.6,20,0.09,0.11,0.09
2026-08-21 15:00,0.0,17.5,20,0.08,0.09,0.09
2026-08-21 15:05,0.0,17.5,20,0.13,0.11,0.09
2026-08-21 15:10,1.0,17.6,20,0.10,0.11,0.09
2026-08-21 15:15,0.5,17.5,20,0.01,0.06,0.08
2026-08-21 15:20,0.0,17.5,20,0.03,0.05,0.07
2026-08-21 15:25,0.5,17.6,20,0.04,0.05,0.07
2026-08-21 15:30,0.0,17.6,20,0.16,0.08,0.07
2026-08-21 15:35,2.5,17.6,20,0.07,0.07,0.06
2026-08-21 15:40,0.0,17.6,20,0.11,0.08,0.08
2026-08-21 15:45,0.0,17.6,20,0.08,0.06,0.07
2026-08-21 15:50,0.0,17.6,20,0.01,0.04,0.06
2026-08-21 15:55,0.0,17.6,20,0.07,0.05,0.05
2026-08-21 16:01,4.0,17.6,20,0.05,0.07,0.05
2026-08-21 16:06,32.3,18.0,20,0.13,0.09,0.06
2026-08-21 16:11,0.5,17.5,20,0.05,0.06,0.06
2026-08-21 16:16,0.0,17.6,20,0.05,0.06,0.05
2026-08-21 16:21,0.5,17.6,20,0.03,0.07,0.06
2026-08-21 16:26,0.0,17.6,20,0.06,0.05,0.05
2026-08-21 16:31,1.0,17.6,20,0.23,0.09,0.05
2026-08-21 16:36,1.5,17.6,20,0.02,0.05,0.03
2026-08-21 16:41,0.0,17.5,20,0.13,0.06,0.03
2026-08-21 16:46,1.0,17.7,20,0.08,0.05,0.02
2026-08-21 16:51,0.0,17.6,20,0.02,0.04,0.01
2026-08-21 16:56,0.5,17.5,20,0.01,0.05,0.01
2026-08-21 17:01,0.5,17.7,20,0.01,0.04,0.00
2026-08-21 17:06,1.5,17.7,20,0.10,0.08,0.02
2026-08-21 17:11,0.0,17.6,20,0.05,0.05,0.01
2026-08-21 17:16,0.0,17.7,20,0.13,0.08,0.02
2026-08-21 17:21,0.0,17.7,20,0.03,0.08,0.03
2026-08-21 17:26,30.6,18.1,20,0.06,0.08,0.03
2026-08-21 17:32,0.5,17.7,20,0.06,0.05,0.01
2026-08-21 17:37,0.5,17.7,20,0.06,0.08,0.02
2026-08-21 17:42,0.5,17.6,20,0.11,0.08,0.02
2026-08-21 17:47,0.0,17.6,20,0.04,0.07,0.02
2026-08-21 17:52,0.0,17.7,20,0.07,0.06,0.02
2026-08-21 17:57,0.0,17.7,20,0.24,0.13,0.04
2026-08-21 18:02,0.5,17.7,20,0.14,0.21,0.10
2026-08-21 18:07,0.5,17.9,20,0.00,0.08,0.07
2026-08-21 18:12,1.0,17.7,20,0.07,0.06,0.06
2026-08-21 18:17,3.0,17.6,20,0.02,0.03,0.04
2026-08-21 18:22,0.0,17.7,20,0.07,0.05,0.04
2026-08-21 18:27,0.0,17.8,20,0.30,0.12,0.06
2026-08-21 18:32,0.0,17.7,20,0.04,0.07,0.05
2026-08-21 18:37,1.0,17.7,20,0.03,0.08,0.06
2026-08-21 18:42,28.5,18.3,20,0.27,0.10,0.07
2026-08-21 18:47,0.0,17.7,20,0.02,0.07,0.07
2026-08-21 18:52,0.0,17.7,20,0.06,0.07,0.07
2026-08-21 18:57,0.0,17.7,20,0.08,0.08,0.07
2026-08-21 19:02,0.0,17.7,20,0.05,0.05,0.06
2026-08-21 19:08,0.0,17.8,20,0.27,0.23,0.13
2026-08-21 19:13,2.0,17.7,20,0.03,0.10,0.09
2026-08-21 19:18,0.0,17.7,20,0.02,0.06,0.08
2026-08-21 19:23,0.0,17.8,20,0.10,0.06,0.07
2026-08-21 19:28,0.5,17.9,20,0.14,0.07,0.07
2026-08-21 19:33,0.0,17.8,20,0.01,0.04,0.06
2026-08-21 19:38,0.0,17.7,20,0.01,0.03,0.04
2026-08-21 19:43,0.0,17.7,20,0.07,0.08,0.05
2026-08-21 19:48,0.0,17.9,20,0.13,0.11,0.07
2026-08-21 19:53,0.0,17.7,20,0.10,0.07,0.06
2026-08-21 19:58,0.0,17.7,20,0.06,0.06,0.05
2026-08-21 20:03,0.5,17.8,20,0.15,0.09,0.06
2026-08-21 20:08,4.1,17.9,20,0.24,0.13,0.08
2026-08-21 20:13,0.0,17.9,20,0.05,0.07,0.06
2026-08-21 20:18,1.0,17.7,20,0.07,0.07,0.06
2026-08-21 20:23,0.0,17.7,20,0.02,0.05,0.06
2026-08-21 20:28,1.5,17.8,20,0.01,0.06,0.06
2026-08-21 20:33,0.0,17.8,20,0.09,0.08,0.07
2026-08-21 20:39,0.0,17.7,20,0.03,0.05,0.06
2026-08-21 20:44,0.5,17.8,20,0.05,0.07,0.07
2026-08-21 20:49,0.0,17.8,20,0.02,0.05,0.06
2026-08-21 20:54,0.0,17.8,20,0.19,0.11,0.08
2026-08-21 20:59,0.5,17.8,20,0.10,0.14,0.10
2026-08-21 21:04,3.5,17.8,20,0.01,0.07,0.08
2026-08-21 21:05,52.5,17.8,20,0.00,0.05,0.07
2026-08-21 21:09,0.0,17.7,20,0.00,0.03,0.06
2026-08-21 21:14,0.0,17.7,20,0.02,0.03,0.04
2026-08-21 21:19,3.5,17.8,20,0.11,0.09,0.06
2026-08-21 21:24,0.0,17.9,20,0.06,0.07,0.05
2026-08-21 21:29,9.5,18.2,20,0.15,0.12,0.08
2026-08-21 21:34,1.0,17.7,20,0.02,0.07,0.07
2026-08-21 21:39,0.0,17.9,20,0.01,0.03,0.05
2026-08-21 21:44,1.0,17.7,20,0.19,0.11,0.07
2026-08-21 21:49,0.0,17.8,20,0.04,0.07,0.06
2026-08-21 21:54,0.0,17.7,20,0.06,0.09,0.07
2026-08-21 21:59,3.5,17.8,20,0.37,0.13,0.08
2026-08-21 22:04,1.0,17.8,20,0.05,0.07,0.07
2026-08-21 22:10,1.0,17.7,20,0.02,0.05,0.06
2026-08-21 22:15,0.5,17.8,20,0.03,0.04,0.05
2026-08-21 22:20,0.0,17.8,20,0.06,0.06,0.06
2026-08-21 22:25,0.0,17.9,20,0.20,0.09,0.06
2026-08-21 22:30,21.5,18.3,20,0.20,0.11,0.07
2026-08-21 22:35,0.0,17.8,20,0.14,0.13,0.09
2026-08-21 22:40,1.0,17.8,20,0.21,0.13,0.10
2026-08-21 22:45,0.0,17.9,20,0.08,0.08,0.08
2026-08-21 22:50,7.0,17.9,20,0.17,0.08,0.08
2026-08-21 22:55,1.0,17.8,20,0.00,0.04,0.06
2026-08-21 23:00,0.0,18.0,20,0.58,0.20,0.11
2026-08-21 23:05,0.0,17.7,20,0.04,0.11,0.09
2026-08-21 23:10,0.0,17.8,20,0.01,0.05,0.07
2026-08-21 23:15,1.0,17.9,20,0.29,0.11,0.08
2026-08-21 23:20,0.5,17.8,20,0.10,0.07,0.07
2026-08-21 23:25,0.0,17.9,20,0.03,0.06,0.07
2026-08-21 23:30,0.0,17.9,20,0.07,0.06,0.07
2026-08-21 23:35,0.0,17.9,20,0.05,0.05,0.05
2026-08-21 23:41,2.0,18.0,20,0.08,0.06,0.05
2026-08-21 23:46,0.5,17.9,20,0.11,0.06,0.05
2026-08-21 23:51,0.5,17.9,20,0.12,0.08,0.05
2026-08-21 23:56,0.0,17.9,20,0.10,0.09,0.06
2026-08-22 00:01,0.0,17.9,20,0.05,0.08,0.06
2026-08-22 00:06,0.0,18.0,20,0.01,0.06,0.06
2026-08-22 00:11,0.5,17.9,20,0.08,0.08,0.07
2026-08-22 00:16,25.9,18.9,20,0.16,0.10,0.08
2026-08-22 00:21,1.0,18.3,20,0.53,0.54,0.29
2026-08-22 00:26,1.5,18.0,20,0.57,0.44,0.30
2026-08-22 00:31,1.0,18.0,20,0.08,0.22,0.24
2026-08-22 00:36,0.0,18.0,20,0.06,0.11,0.17
2026-08-22 00:41,0.0,18.0,20,0.28,0.13,0.16
2026-08-22 00:46,0.5,18.0,20,0.22,0.18,0.17
2026-08-22 00:51,0.0,18.0,20,0.02,0.11,0.15
2026-08-22 00:56,2.5,17.9,20,0.02,0.06,0.11
2026-08-22 01:02,0.5,18.6,20,0.02,0.06,0.08
2026-08-22 01:07,2.5,18.5,20,0.17,0.10,0.09
2026-08-22 01:12,1.0,18.5,20,0.10,0.07,0.08
2026-08-22 01:17,0.5,18.6,20,0.16,0.07,0.07
2026-08-22 01:22,5.0,18.7,20,0.14,0.15,0.10
2026-08-22 01:28,1.0,18.5,20,0.03,0.11,0.09
2026-08-22 01:33,1.0,18.6,20,0.19,0.12,0.10
2026-08-22 01:38,1.0,18.5,20,0.09,0.12,0.09
2026-08-22 01:43,5.0,18.9,20,0.17,0.10,0.09
2026-08-22 01:48,2.0,18.5,20,0.12,0.09,0.09
2026-08-22 01:53,4.5,18.6,20,0.06,0.09,0.09
2026-08-22 01:58,1.0,18.6,20,0.23,0.16,0.11
2026-08-22 02:03,0.0,18.7,20,0.07,0.11,0.09
2026-08-22 02:08,0.0,18.6,20,0.07,0.09,0.09
2026-08-22 02:13,0.0,18.5,20,0.03,0.05,0.07
2026-08-22 02:18,0.0,18.5,20,0.05,0.05,0.07
2026-08-22 02:23,0.5,18.5,20,0.07,0.14,0.09
2026-08-22 02:28,0.0,18.6,20,0.21,0.12,0.09
2026-08-22 02:33,0.0,18.5,20,0.28,0.18,0.12
2026-08-22 02:38,0.0,18.7,20,0.04,0.12,0.09
2026-08-22 02:43,0.0,18.6,20,0.11,0.11,0.09
2026-08-22 02:48,0.0,18.5,20,0.02,0.06,0.08
2026-08-22 02:53,0.0,18.8,20,0.10,0.07,0.08
2026-08-22 02:59,1.5,18.7,20,0.06,0.11,0.09
2026-08-22 03:04,1.0,18.8,20,0.10,0.09,0.09
2026-08-22 03:09,1.0,18.7,20,0.06,0.07,0.08
2026-08-22 03:14,1.5,18.6,20,0.00,0.03,0.05
2026-08-22 03:19,0.5,18.7,20,0.06,0.08,0.07
2026-08-22 03:24,0.0,18.7,20,0.15,0.10,0.08
2026-08-22 03:29,0.0,18.6,20,0.04,0.08,0.08
2026-08-22 03:34,0.0,18.7,20,0.04,0.05,0.06
2026-08-22 03:39,0.5,18.6,20,0.04,0.04,0.05
2026-08-22 03:44,0.0,18.6,20,0.04,0.04,0.04
2026-08-22 03:49,4.0,18.8,20,0.08,0.06,0.04
2026-08-22 03:54,0.0,18.6,20,0.02,0.06,0.04
2026-08-22 03:59,0.0,18.6,20,0.01,0.04,0.03
2026-08-22 04:04,0.5,18.7,20,0.10,0.07,0.04
2026-08-22 04:09,1.0,18.7,20,0.17,0.09,0.04
2026-08-22 04:14,1.0,18.7,20,0.01,0.04,0.02
2026-08-22 04:19,0.0,18.7,20,0.07,0.07,0.04
2026-08-22 04:24,1.5,18.7,20,0.05,0.05,0.02
2026-08-22 04:30,32.0,19.4,20,0.11,0.07,0.02
2026-08-22 04:35,0.0,18.7,20,0.19,0.10,0.03
2026-08-22 04:40,0.5,18.7,20,0.04,0.09,0.04
2026-08-22 04:45,1.0,18.8,20,0.70,0.25,0.11
2026-08-22 04:50,1.0,18.7,20,0.08,0.15,0.09
2026-08-22 04:55,1.5,18.7,20,0.02,0.08,0.08
2026-08-22 05:00,0.0,18.9,20,0.13,0.07,0.07
2026-08-22 05:05,0.0,18.8,20,0.16,0.11,0.09
2026-08-22 05:10,1.0,18.7,20,0.03,0.08,0.08
2026-08-22 05:15,0.0,18.7,20,0.33,0.13,0.10
2026-08-22 05:20,1.5,18.7,20,0.12,0.09,0.09
2026-08-22 05:25,24.3,19.0,20,0.01,0.04,0.07
2026-08-22 05:30,0.5,18.7,20,0.09,0.06,0.07
2026-08-22 05:35,1.0,18.7,20,0.08,0.06,0.06
2026-08-22 05:40,0.0,18.9,20,0.01,0.03,0.05
2026-08-22 05:45,0.0,18.8,20,0.07,0.08,0.06
2026-08-22 05:50,0.0,18.7,20,0.20,0.17,0.10
2026-08-22 05:55,0.5,18.7,20,0.20,0.14,0.10
2026-08-22 06:01,0.0,18.7,20,0.26,0.20,0.12
2026-08-22 06:06,0.0,18.8,20,0.10,0.13,0.10
2026-08-22 06:11,0.0,18.9,20,0.01,0.07,0.08
2026-08-22 06:16,0.0,18.8,20,0.04,0.07,0.08
2026-08-22 06:21,31.0,19.2,20,0.05,0.09,0.08
2026-08-22 06:26,1.0,18.7,20,0.38,0.19,0.12
2026-08-22 06:31,1.0,18.7,20,0.04,0.08,0.08
2026-08-22 06:36,0.0,18.8,20,0.20,0.16,0.11
2026-08-22 06:41,1.0,18.7,20,0.20,0.14,0.10
2026-08-22 06:46,0.5,18.8,20,0.00,0.05,0.07
2026-08-22 06:51,1.0,18.7,20,0.19,0.09,0.08
2026-08-22 06:56,0.0,18.7,20,0.12,0.12,0.09
2026-08-22 07:01,0.0,18.8,20,0.10,0.12,0.09
2026-08-22 07:06,1.0,18.7,20,0.08,0.08,0.08
2026-08-22 07:11,0.5,18.7,20,0.26,0.13,0.10
2026-08-22 07:16,0.0,18.8,20,0.09,0.07,0.08
2026-08-22 07:21,0.5,18.7,20,0.41,0.20,0.12
2026-08-22 07:26,0.0,18.7,20,0.02,0.09,0.09
2026-08-22 07:32,0.0,18.8,20,0.11,0.09,0.09
2026-08-22 07:37,2.0,18.8,20,0.08,0.08,0.09
2026-08-22 07:42,0.0,18.7,20,0.07,0.06,0.08
2026-08-22 07:47,1.0,18.8,20,0.15,0.19,0.13
2026-08-22 07:52,0.0,18.7,20,0.10,0.12,0.10
2026-08-22 07:57,1.5,18.7,20,0.12,0.11,0.09
2026-08-22 08:02,1.0,18.8,20,0.03,0.08,0.08
2026-08-22 08:07,1.0,18.8,20,0.03,0.06,0.08
2026-08-22 08:12,1.0,18.8,20,0.12,0.09,0.09
2026-08-22 08:17,0.5,18.9,20,0.19,0.11,0.09
2026-08-22 08:22,0.0,18.8,20,0.11,0.11,0.09
2026-08-22 08:27,0.5,18.7,20,0.02,0.10,0.09
2026-08-22 08:32,0.0,18.8,20,0.05,0.08,0.08
2026-08-22 08:37,0.0,18.7,20,0.08,0.08,0.08
2026-08-22 08:42,39.3,19.0,20,0.05,0.06,0.08
2026-08-22 08:47,0.5,18.8,20,0.18,0.10,0.09
2026-08-22 08:52,0.0,18.7,20,0.00,0.04,0.07
2026-08-22 08:58,1.0,18.9,20,0.01,0.03,0.05
2026-08-22 09:03,0.5,18.8,20,0.02,0.06,0.06
2026-08-22 09:08,0.0,18.8,20,0.05,0.05,0.06
2026-08-22 09:13,0.0,18.8,20,0.16,0.11,0.08
2026-08-22 09:18,0.0,18.9,20,0.06,0.06,0.07
2026-08-22 09:23,0.0,18.8,20,0.14,0.08,0.07
2026-08-22 09:28,0.5,18.9,20,0.15,0.14,0.10
2026-08-22 09:33,1.0,18.9,20,0.00,0.06,0.07
2026-08-22 09:38,0.5,18.9,20,0.03,0.03,0.05
2026-08-22 09:43,0.5,18.8,20,0.13,0.09,0.06
2026-08-22 09:48,3.0,18.9,20,0.21,0.15,0.09
2026-08-22 09:53,0.0,18.9,20,0.20,0.15,0.10
2026-08-22 09:58,1.0,18.9,20,0.01,0.06,0.07
2026-08-22 10:03,31.0,19.3,20,0.00,0.02,0.05
2026-08-22 10:08,0.0,18.8,20,0.06,0.03,0.03
2026-08-22 10:13,1.5,18.9,20,0.03,0.03,0.02
2026-08-22 10:18,4.0,18.9,20,0.08,0.06,0.02
2026-08-22 10:23,0.5,18.9,20,0.05,0.05,0.01
2026-08-22 10:29,2.0,18.9,20,0.18,0.09,0.02
2026-08-22 10:34,2.5,19.1,20,0.09,0.09,0.03
2026-08-22 10:39,0.0,18.8,20,0.05,0.11,0.05
2026-08-22 10:44,0.0,19.0,20,0.13,0.15,0.09
2026-08-22 10:49,0.0,18.9,20,0.19,0.15,0.10
2026-08-22 10:54,1.0,18.9,20,0.14,0.09,0.08
2026-08-22 10:59,0.0,18.9,20,0.09,0.07,0.07
2026-08-22 11:04,2.5,19.0,20,0.26,0.14,0.10
2026-08-22 11:09,0.5,18.9,20,0.20,0.13,0.10
2026-08-22 11:14,1.5,18.8,20,0.04,0.09,0.08
2026-08-22 11:19,1.0,18.9,20,0.09,0.08,0.08
2026-08-22 11:24,1.0,19.0,20,0.06,0.06,0.08
2026-08-22 11:29,1.0,19.0,20,0.03,0.05,0.07
2026-08-22 11:34,0.0,19.0,20,0.19,0.08,0.08
2026-08-22 11:39,0.0,18.9,20,0.05,0.11,0.09
2026-08-22 11:44,0.0,19.0,20,0.11,0.10,0.09
2026-08-22 11:49,0.0,18.9,20,0.18,0.13,0.10
2026-08-22 11:54,0.0,18.9,20,0.06,0.06,0.08
2026-08-22 12:00,2.5,19.0,20,0.05,0.07,0.08
2026-08-22 12:05,0.0,18.9,20,0.07,0.06,0.07
2026-08-22 12:10,1.0,18.9,20,0.08,0.05,0.06
2026-08-22 12:15,0.0,18.8,20,0.04,0.04,0.04
