zeit,coin,markt,mid,spread_bp,slip180_bp,slip500_bp,slip1000_bp,tiefe_usd,funding_h_pct,roundtrip_bp
2026-08-22 00:54,BTC,BTC,78588.5,0.127,0.064,0.064,0.064,3073032,0.00125,12.63
2026-08-22 00:54,ETH,ETH,2525.95,0.396,0.198,0.198,0.198,5093278,0.005052,23.54
2026-08-22 00:54,SOL,SOL,94.1935,0.106,0.053,0.053,1.009,248449,0.005526,24.58
2026-08-22 00:54,XRP,XRP,1.4520499999999998,0.689,0.344,0.344,1.033,1180983,0.008618,33.82
2026-08-22 00:54,AVAX,AVAX,7.88615,1.902,0.951,0.951,3.234,77489,0.008238,33.97
2026-08-22 00:54,LINK,LINK,12.207,1.638,0.819,0.819,0.819,180971,0.014814,52.12
2026-08-22 00:54,LTC,LTC,54.216499999999996,0.184,0.092,0.092,0.092,42079,0.010947,39.84
2026-08-22 00:54,ADA,ADA,0.23295,0.859,0.429,0.429,0.859,93556,0.012585,45.1
2026-08-22 00:54,DOT,DOT,0.94484,1.905,0.953,1.058,1.693,35156,0.00125,14.41
2026-08-22 00:54,UNI,UNI,4.18125,0.239,0.12,0.12,0.12,46683,0.004033,20.53
2026-08-22 00:54,AAVE,AAVE,121.42,1.647,0.824,0.824,0.824,220026,0.022904,74.78
2026-08-22 00:54,ARB,ARB,0.09934499999999999,1.007,2.516,3.523,3.523,83179,0.00125,17.53
2026-08-22 00:54,POL,POL,0.0942265,0.106,3.555,4.51,4.935,11312,0.004604,29.0
2026-08-22 00:54,RENDER,RENDER,1.5366499999999998,3.254,3.579,4.23,6.833,13111,0.00125,19.66
2026-08-22 00:54,DOGE,DOGE,0.0944825,0.741,0.37,0.37,0.37,56352,0.029719,92.95
2026-08-22 00:54,SHIB,kSHIB,0.006201,6.451,3.225,3.225,3.225,197800,0.002454,22.32
2026-08-22 00:54,PEPE,kPEPE,0.004098,4.88,2.44,4.88,4.88,369360,0.00843,37.49
2026-08-22 00:54,WIF,WIF,0.20329999999999998,3.935,4.919,8.854,11.313,12460,0.002953,27.11
2026-08-22 00:54,BONK,kBONK,0.0031479999999999998,6.353,3.177,3.177,3.177,130302,0.00125,18.85
2026-08-22 00:54,TRUMP,TRUMP,1.8642,1.073,1.609,1.609,2.682,132456,0.00125,15.72
2026-08-22 00:58,BTC,BTC,78515.5,0.127,0.064,0.064,0.064,4720682,0.00125,12.63
2026-08-22 00:58,ETH,ETH,2524.45,0.396,0.198,0.198,0.198,4289381,0.004772,22.76
2026-08-22 00:58,SOL,SOL,94.5515,2.433,1.428,1.428,1.428,239295,0.005514,27.29
2026-08-22 00:58,XRP,XRP,1.44955,0.69,0.345,0.345,0.345,370310,0.009007,34.91
2026-08-22 00:58,AVAX,AVAX,7.87085,0.127,0.064,0.064,2.223,88011,0.008172,32.01
2026-08-22 00:58,LINK,LINK,12.196,1.64,0.82,0.82,0.82,188575,0.01473,51.88
2026-08-22 00:58,LTC,LTC,53.911500000000004,0.185,0.093,0.093,0.093,43000,0.011499,41.38
2026-08-22 00:58,ADA,ADA,0.232205,1.292,0.646,0.646,1.507,95182,0.012728,45.93
2026-08-22 00:58,DOT,DOT,0.9422550000000001,0.106,4.298,4.298,4.829,41871,0.00125,21.1
2026-08-22 00:58,UNI,UNI,4.17775,0.239,0.12,0.12,0.12,73217,0.004639,22.23
2026-08-22 00:58,AAVE,AAVE,120.96000000000001,1.653,0.827,3.307,3.307,248483,0.022877,74.71
2026-08-22 00:58,ARB,ARB,0.09928999999999999,2.014,1.007,1.007,1.007,80788,0.00125,14.51
2026-08-22 00:58,POL,POL,0.0943775,0.106,1.642,2.384,2.49,13486,0.00455,25.02
2026-08-22 00:58,RENDER,RENDER,1.53525,1.954,0.977,0.977,0.977,27010,0.00125,14.45
2026-08-22 00:58,DOGE,DOGE,0.0940725,0.532,0.478,1.01,1.754,29530,0.028613,90.07
2026-08-22 00:58,SHIB,kSHIB,0.006138,3.258,17.921,17.921,22.809,167258,0.002518,51.89
2026-08-22 00:58,PEPE,kPEPE,0.004106,4.871,2.435,2.435,2.435,316613,0.008734,38.33
2026-08-22 00:58,WIF,WIF,0.20373,2.945,1.473,1.963,1.963,24836,0.002776,19.72
2026-08-22 00:58,BONK,kBONK,0.0031565,3.168,1.584,1.584,1.584,138662,0.00125,15.67
2026-08-22 00:58,TRUMP,TRUMP,1.87915,0.532,3.459,3.459,3.459,146207,0.00125,19.42
2026-08-22 01:00,BTC,BTC,78410.5,0.128,1.084,1.212,1.212,1156005,0.00125,14.67
2026-08-22 01:00,ETH,ETH,2521.05,0.397,0.198,0.198,0.198,7522345,0.00125,12.9
2026-08-22 01:00,SOL,SOL,94.3365,0.106,0.053,0.053,0.053,297729,0.00373,19.55
2026-08-22 01:00,XRP,XRP,1.4473500000000001,0.691,0.345,0.345,0.345,1073147,0.013504,47.5
2026-08-22 01:00,AVAX,AVAX,7.8659,0.763,0.381,0.381,1.271,73579,0.007463,30.66
2026-08-22 01:00,LINK,LINK,12.186499999999999,0.821,2.051,6.975,6.975,346210,0.011642,45.7
2026-08-22 01:00,LTC,LTC,53.8675,0.186,0.278,1.578,1.578,14852,0.018122,60.3
2026-08-22 01:00,ADA,ADA,0.23161500000000002,0.432,1.943,1.943,2.806,102269,0.013787,51.49
2026-08-22 01:00,DOT,DOT,0.942735,2.015,1.008,1.75,1.75,37861,0.00125,14.52
2026-08-22 01:00,UNI,UNI,4.18295,2.152,1.076,1.793,2.032,44271,0.014634,52.13
2026-08-22 01:00,AAVE,AAVE,120.625,0.829,1.244,1.244,2.073,251174,0.02275,75.19
2026-08-22 01:00,ARB,ARB,0.098985,3.031,1.515,2.526,2.526,78050,0.00125,15.53
2026-08-22 01:00,POL,POL,0.0948995,3.267,2.371,2.371,2.371,15367,0.006588,32.19
2026-08-22 01:00,RENDER,RENDER,1.53145,1.959,1.632,1.632,1.632,27743,0.00125,15.76
2026-08-22 01:00,DOGE,DOGE,0.09392700000000001,1.065,0.532,0.532,0.532,88537,0.009231,35.91
2026-08-22 01:00,SHIB,kSHIB,0.006189999999999999,12.924,6.462,8.078,8.078,198154,0.008124,44.67
2026-08-22 01:00,PEPE,kPEPE,0.0040905,2.445,3.667,3.667,3.667,280316,0.009776,43.71
2026-08-22 01:00,WIF,WIF,0.20338,1.967,2.458,2.458,2.458,28472,0.00125,17.42
2026-08-22 01:00,BONK,kBONK,0.0031339999999999996,12.763,6.382,6.382,6.382,103854,0.00125,25.26
2026-08-22 01:00,TRUMP,TRUMP,1.88525,0.53,0.265,0.265,0.265,110595,0.00125,13.03
2026-08-22 01:05,BTC,BTC,78456.5,0.127,0.064,0.064,0.064,3546618,0.00125,12.63
2026-08-22 01:05,ETH,ETH,2519.55,0.397,0.198,0.198,0.198,8444888,0.00125,12.9
2026-08-22 01:05,SOL,SOL,94.1255,0.106,0.053,0.053,0.053,413260,0.004675,22.2
2026-08-22 01:05,XRP,XRP,1.4517,1.378,0.689,0.689,0.689,873618,0.013815,49.06
2026-08-22 01:05,AVAX,AVAX,7.86925,0.127,1.716,1.843,1.843,19040,0.008009,34.86
2026-08-22 01:05,LINK,LINK,12.1775,0.821,0.411,0.411,1.232,160249,0.012892,45.92
2026-08-22 01:05,LTC,LTC,53.8495,0.186,0.093,0.093,0.65,36512,0.017957,59.47
2026-08-22 01:05,ADA,ADA,0.232265,0.431,1.507,1.507,3.66,131772,0.014031,51.3
2026-08-22 01:05,DOT,DOT,0.9477150000000001,1.583,0.791,0.791,1.319,38338,0.00125,14.08
2026-08-22 01:05,UNI,UNI,4.1788,3.829,1.914,1.914,1.914,30581,0.012181,46.94
2026-08-22 01:05,AAVE,AAVE,120.6,1.658,0.829,1.658,1.658,105384,0.023442,76.3
2026-08-22 01:05,ARB,ARB,0.099085,3.028,1.514,2.523,3.532,80041,0.00125,15.53
2026-08-22 01:05,POL,POL,0.0950745,0.105,0.368,0.473,4.155,12494,0.004651,22.76
2026-08-22 01:05,RENDER,RENDER,1.5318,3.917,5.875,5.875,7.181,15417,0.00125,24.25
2026-08-22 01:05,DOGE,DOGE,0.093838,1.918,0.959,0.959,0.959,173380,0.012017,44.57
2026-08-22 01:05,SHIB,kSHIB,0.0061365,4.889,2.444,2.444,2.444,181274,0.002111,19.8
2026-08-22 01:05,PEPE,kPEPE,0.004148,4.822,4.822,4.822,4.822,252114,0.012056,52.4
2026-08-22 01:05,WIF,WIF,0.202225,3.461,3.214,3.214,8.159,19498,0.00125,18.93
2026-08-22 01:05,BONK,kBONK,0.0031295000000000003,9.586,4.793,4.793,4.793,138510,0.00125,22.09
2026-08-22 01:05,TRUMP,TRUMP,1.87155,2.672,1.336,1.336,3.473,125754,0.00125,15.17
2026-08-22 01:10,BTC,BTC,78537.5,0.127,0.064,0.064,0.064,1636910,0.00125,12.63
2026-08-22 01:10,ETH,ETH,2525.05,0.396,0.198,0.198,0.198,3553083,0.00125,12.9
2026-08-22 01:10,SOL,SOL,94.2625,0.106,0.053,0.053,0.053,261326,0.004997,23.1
2026-08-22 01:10,XRP,XRP,1.4509500000000002,0.689,0.345,0.345,0.345,1057243,0.014627,50.64
2026-08-22 01:10,AVAX,AVAX,7.87135,0.127,0.064,0.064,0.445,63349,0.00878,33.71
